Question,answer 1,answer 2,answer 3,answer 4,Difficulty,classification
Which Gaza operation took place in 2014?,Operation Cast Lead,Operation Pillar of Defense,Operation Opera,Operation Protective Edge,3,Israel politics and Wars in israel
Which Israeli leader was prime minister during the 1967 Six-Day War?,David Ben-Gurion,Golda Meir,Menachem Begin,Levi Eshkol,4,Israel politics and Wars in israel
Which Israeli prime minister was in office during the Yom Kippur War?,Levi Eshkol,Yitzhak Rabin,Menachem Begin,Golda Meir,3,Israel politics and Wars in israel
Which Israeli party did Yair Lapid found?,Likud,Labor,Kadima,Yesh Atid,2,Israel politics and Wars in israel
Which prime minister formed a rotation government with Yair Lapid in 2021?,Benny Gantz,Avigdor Lieberman,Gideon Sa’ar,Naftali Bennett,3,Israel politics and Wars in israel
"Which Israeli general became prime minister and later defense minister, known for special forces service?",Moshe Sharett,Reuven Rivlin,Chaim Herzog,Ehud Barak,4,Israel politics and Wars in israel
Which city was the target of Operation Entebbe’s hostage rescue airport?,Nairobi,Addis Ababa,Cairo,Entebbe,4,Israel politics and Wars in israel
Which Israeli president was also a former IDF general and ambassador to the UN?,Chaim Weizmann,Reuven Rivlin,Isaac Herzog,Chaim Herzog,4,Israel politics and Wars in israel
Which Israeli law defines Israel as the nation-state of the Jewish people?,Basic Law: The Knesset,Basic Law: Human Dignity and Liberty,Basic Law: The Government,Basic Law: Israel as the Nation-State of the Jewish People,5,Israel politics and Wars in israel
Which war included the crossing of the Suez Canal by Israeli forces under Ariel Sharon?,Six-Day War,Suez Crisis,First Lebanon War,Yom Kippur War,6,Israel politics and Wars in israel
Which ceasefire line from 1949 is often called the Green Line?,The 1979 border with Egypt,The 1994 border with Jordan,The 2000 Lebanon line,The 1949 armistice lines,7,Israel politics and Wars in israel
Which Israeli prime minister was born in Brest-Litovsk and led Herut before Likud?,Yitzhak Rabin,Shimon Peres,Levi Eshkol,Menachem Begin,8,Israel politics and Wars in israel
Which pop star’s 2009 MTV VMA speech was interrupted by Kanye West?,Lady Gaga,Beyoncé,Rihanna,Taylor Swift,1,celebs dramas
Who interrupted Taylor Swift at the 2009 MTV Video Music Awards?,Jay-Z,Drake,Eminem,Kanye West,1,celebs dramas
Which couple’s split was famously nicknamed “Brangelina” ending?,Kim and Kanye,Justin and Selena,Tom and Gisele,Brad Pitt and Angelina Jolie,2,celebs dramas
Which actor slapped Chris Rock at the 2022 Oscars?,Denzel Washington,Chris Evans,Leonardo DiCaprio,Will Smith,1,celebs dramas
Who was the comedian slapped at the 2022 Oscars?,Dave Chappelle,Kevin Hart,Jimmy Kimmel,Chris Rock,1,celebs dramas
Which celebrity couple was central to the “Bennifer” nickname?,Blake Lively and Ryan Reynolds,Mila Kunis and Ashton Kutcher,Katy Perry and Orlando Bloom,Ben Affleck and Jennifer Lopez,2,celebs dramas
Which singer released the breakup anthem “drivers license” in 2021?,Sabrina Carpenter,Billie Eilish,Ariana Grande,Olivia Rodrigo,2,celebs dramas
Which celebrity family stars in a long-running reality franchise beginning with “Keeping Up”?,The Smiths,The Beckhams,The Hadids,The Kardashians,1,celebs dramas
Which rapper and Kim Kardashian finalized a divorce after several years of marriage?,Travis Scott,Drake,Tyga,Kanye West,2,celebs dramas
Which singer’s fanbase is commonly called the “BeyHive”?,Taylor Swift,Adele,Rihanna,Beyoncé,1,celebs dramas
Which pop star’s conservatorship battle inspired the #FreeBritney movement?,Christina Aguilera,Madonna,Dua Lipa,Britney Spears,1,celebs dramas
Which actor played Jack Sparrow and was involved in a highly publicized trial with Amber Heard?,Tom Cruise,Robert Downey Jr.,Brad Pitt,Johnny Depp,1,celebs dramas
Who was Johnny Depp’s ex-wife in the widely televised defamation trial?,Winona Ryder,Kate Moss,Jennifer Grey,Amber Heard,2,celebs dramas
"Which singer’s “thank u, next” referenced several exes?",Selena Gomez,Miley Cyrus,Demi Lovato,Ariana Grande,2,celebs dramas
Which celebrity couple were associated with the names Hailey and Justin?,Hailey Duff and Justin Timberlake,Hailey Atwell and Justin Long,Hailey Steinfeld and Justin Theroux,Hailey Bieber and Justin Bieber,1,celebs dramas
Which singer dated Selena Gomez on and off during the 2010s?,Harry Styles,Zayn Malik,Shawn Mendes,Justin Bieber,2,celebs dramas
Which reality star was robbed in Paris in 2016?,Kylie Jenner,Kendall Jenner,Kourtney Kardashian,Kim Kardashian,3,celebs dramas
Which singer had a public breakup with Pete Davidson after a short engagement?,Miley Cyrus,Dua Lipa,Selena Gomez,Ariana Grande,2,celebs dramas
Which actor left “The Witcher” before Liam Hemsworth was announced as his replacement?,Chris Hemsworth,Henry Golding,Tom Hardy,Henry Cavill,3,celebs dramas
Which pop star was famously part of a feud involving Katy Perry and “Bad Blood”?,Adele,Lady Gaga,Demi Lovato,Taylor Swift,2,celebs dramas
Which actress made headlines for the college admissions scandal involving USC?,Jennifer Aniston,Reese Witherspoon,Sandra Bullock,Lori Loughlin,3,celebs dramas
Which “Full House” actress was charged in the college admissions scandal?,Mary-Kate Olsen,Jodie Sweetin,Candace Cameron Bure,Lori Loughlin,3,celebs dramas
Which actress also faced charges in the Varsity Blues college admissions scandal?,Julia Roberts,Gwyneth Paltrow,Nicole Kidman,Felicity Huffman,3,celebs dramas
Which singer’s legal battle included a dispute with producer Dr. Luke?,Pink,Kelly Clarkson,Camila Cabello,Kesha,3,celebs dramas
Which celebrity couple’s divorce was nicknamed “the end of TomKat”?,Tom Brady and Gisele Bündchen,Tom Hanks and Rita Wilson,Tom Holland and Zendaya,Tom Cruise and Katie Holmes,4,celebs dramas
Which celebrity couple announced a separation after years branded as “conscious uncoupling”?,Beyoncé and Jay-Z,Ashton and Mila,Blake and Ryan,Gwyneth Paltrow and Chris Martin,4,celebs dramas
Which singer had a famous elevator incident involving Solange and Jay-Z?,Rihanna,Alicia Keys,Nicki Minaj,Beyoncé,4,celebs dramas
Which famous sister was involved in the elevator incident with Jay-Z in 2014?,Tina Knowles,Kelly Rowland,Blue Ivy,Solange Knowles,4,celebs dramas
Which actor’s “couch jump” moment happened on Oprah while discussing Katie Holmes?,Brad Pitt,George Clooney,Matt Damon,Tom Cruise,3,celebs dramas
Which model and singer couple had a public split involving Zayn Malik?,Kendall Jenner and Harry Styles,Bella Hadid and The Weeknd,Gigi Hadid and Cody Simpson,Gigi Hadid and Zayn Malik,3,celebs dramas
Which rapper’s feud with Drake included the diss track “The Story of Adidon”?,Kendrick Lamar,Meek Mill,J. Cole,Pusha T,5,celebs dramas
Which rapper revealed Drake had a son in “The Story of Adidon”?,Nas,Kanye West,Jay-Z,Pusha T,5,celebs dramas
Which pop star’s documentary “Framing Britney Spears” helped renew attention to her legal situation?,Madonna,Cher,Janet Jackson,Britney Spears,3,celebs dramas
Which talk-show host’s workplace controversy centered on allegations about a toxic set culture?,Oprah Winfrey,Jimmy Fallon,Kelly Clarkson,Ellen DeGeneres,3,celebs dramas
Which actress played Rachel on “Friends” and was married to Brad Pitt?,Courteney Cox,Lisa Kudrow,Julia Roberts,Jennifer Aniston,2,celebs dramas
Which actress’s lifestyle brand Goop often receives public criticism and jokes?,Reese Witherspoon,Cameron Diaz,Drew Barrymore,Gwyneth Paltrow,2,celebs dramas
Which singer faced a copyright lawsuit over “Shake It Off” lyrics that was later dropped?,Adele,Beyoncé,Katy Perry,Taylor Swift,5,celebs dramas
Which celebrity chef became known for the “Salt Bae” meme?,Gordon Ramsay,Jamie Oliver,Bobby Flay,Nusret Gökçe,2,celebs dramas
Which actor’s Oscars incident led to a 10-year ban from Academy events?,Joaquin Phoenix,Christian Bale,Ben Affleck,Will Smith,3,celebs dramas
Which singer’s 2016 album “Lemonade” sparked cheating speculation around Jay-Z?,Rihanna,Adele,Mariah Carey,Beyoncé,3,celebs dramas
Which phrase from “Lemonade” became associated with cheating rumors?,Bad guy,Red scarf,Thank u next,Becky with the good hair,4,celebs dramas
Which actor and musician had a public breakup with Sophie Turner?,Harry Styles,Nick Jonas,Kevin Jonas,Joe Jonas,3,celebs dramas
Which actress from “Game of Thrones” married Joe Jonas?,Maisie Williams,Emilia Clarke,Lena Headey,Sophie Turner,3,celebs dramas
Which celebrity’s defamation trial involved the phrase “my dog stepped on a bee” becoming a meme?,Kim Kardashian,Taylor Swift,Gwyneth Paltrow,Amber Heard,4,celebs dramas
Which actor’s ski-collision trial became a viral courtroom story in 2023?,Meryl Streep,Sandra Bullock,Angelina Jolie,Gwyneth Paltrow,4,celebs dramas
Which singer’s feud with Scooter Braun centered on ownership of master recordings?,Katy Perry,Ariana Grande,Rihanna,Taylor Swift,3,celebs dramas
"Which manager bought Big Machine Records, triggering Taylor Swift’s masters dispute?",Simon Cowell,Dr. Luke,Jay-Z,Scooter Braun,7,celebs dramas
Which celebrity couple’s divorce after an alleged affair was connected to “Wagatha Christie” in the UK?,Victoria and David Beckham,Coleen Rooney and Wayne Rooney,Cheryl and Liam Payne,Coleen Rooney and Rebekah Vardy,8,celebs dramas
Who coined the public accusation in the “Wagatha Christie” case?,Rebekah Vardy,Victoria Beckham,Cheryl Cole,Coleen Rooney,8,celebs dramas
Which singer headlined a Super Bowl halftime show while pregnant in 2023?,Beyoncé,Lady Gaga,Taylor Swift,Rihanna,2,celebs dramas
Which pop star shaved her head in 2007 during a period of intense media attention?,Christina Aguilera,Paris Hilton,Lindsay Lohan,Britney Spears,2,celebs dramas
Which actress had a public legal and media saga after the 2000s teen-star era and later a conservatorship?,Hilary Duff,Amanda Seyfried,Mary-Kate Olsen,Amanda Bynes,4,celebs dramas
Which celebrity’s apology video with a ukulele became widely criticized in 2023?,JoJo Siwa,Lilly Singh,Miranda Sings,Colleen Ballinger,5,celebs dramas
Which YouTuber is behind the character Miranda Sings?,Emma Chamberlain,Liza Koshy,Jenna Marbles,Colleen Ballinger,4,celebs dramas
"Which actor was removed from major projects after abuse allegations and legal issues, including from “Fantastic Beasts”?",Ezra Miller,Shia LaBeouf,Armie Hammer,Johnny Depp,4,celebs dramas
Which actor faced cannibalism-related rumor scandals and career fallout in 2021?,Jared Leto,Johnny Depp,James Franco,Armie Hammer,5,celebs dramas
Which singer had a public conservatorship that ended in November 2021?,Demi Lovato,Miley Cyrus,Janet Jackson,Britney Spears,2,celebs dramas
Which celebrity couple’s divorce was finalized in 2022 after Kim filed in 2021?,Beyoncé and Jay-Z,Kourtney and Travis,Kylie and Travis,Kim Kardashian and Kanye West,3,celebs dramas
Which rapper legally changed his name to Ye?,Jay-Z,Drake,Travis Scott,Kanye West,2,celebs dramas
Which celebrity couple was associated with the “Scandoval” reality-TV cheating scandal?,Kim and Kanye,Blake and Ryan,Ariana and Pete,Tom Sandoval and Ariana Madix,5,celebs dramas
Which reality show did “Scandoval” come from?,The Bachelor,Love Island,Selling Sunset,Vanderpump Rules,5,celebs dramas
Which singer’s fans are called “Swifties”?,Ariana Grande,Beyoncé,Dua Lipa,Taylor Swift,7,celebs dramas
Which actor’s relationship with Jada Pinkett Smith was discussed around the Oscars slap?,Chris Rock,Denzel Washington,Jamie Foxx,Will Smith,8,celebs dramas
What is the capital of France?,Berlin,Madrid,Rome,Paris,1,geography questions
Which is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,1,geography questions
Which continent is Egypt in?,Europe,South America,Australia,Africa,6,geography questions
What is the capital of Japan?,Seoul,Beijing,Kyoto,Tokyo,7,geography questions
Which country has the city of Barcelona?,Portugal,Italy,France,Spain,1,geography questions
What is the longest river in Africa?,Congo River,Niger River,Zambezi River,Nile River,2,geography questions
Which desert covers much of northern Africa?,Gobi Desert,Kalahari Desert,Atacama Desert,Sahara Desert,1,geography questions
Which mountain is the highest in the world above sea level?,K2,Kilimanjaro,Denali,Mount Everest,1,geography questions
What is the capital of Canada?,Toronto,Vancouver,Montreal,Ottawa,2,geography questions
Which country is shaped like a boot?,Greece,Croatia,Chile,Italy,1,geography questions
Which sea lies between Europe and Africa?,Black Sea,Red Sea,Baltic Sea,Mediterranean Sea,2,geography questions
Which country has the most people by population?,United States,Indonesia,Brazil,India,2,geography questions
Which U.S. state is the Grand Canyon in?,Nevada,Utah,New Mexico,Arizona,2,geography questions
What is the capital of Australia?,Sydney,Melbourne,Perth,Canberra,2,geography questions
Which country contains Machu Picchu?,Chile,Bolivia,Colombia,Peru,2,geography questions
Which river flows through London?,Seine,Danube,Rhine,Thames,2,geography questions
What is the capital of Brazil?,Rio de Janeiro,São Paulo,Salvador,Brasília,2,geography questions
Which country has the Great Barrier Reef?,New Zealand,Indonesia,Philippines,Australia,2,geography questions
Which is the smallest country in the world by area?,Monaco,San Marino,Liechtenstein,Vatican City,2,geography questions
Which country has the city of Marrakech?,Algeria,Tunisia,Egypt,Morocco,2,geography questions
What is the capital of South Korea?,Busan,Pyongyang,Tokyo,Seoul,1,geography questions
Which strait separates Europe and Africa at the western entrance to the Mediterranean?,Bosporus,Hormuz,Malacca,Strait of Gibraltar,4,geography questions
Which country is both in Europe and Asia and has Istanbul?,Greece,Bulgaria,Armenia,Turkey,2,geography questions
Which river is associated with Paris?,Rhine,Thames,Danube,Seine,2,geography questions
Which country has the city of Dubrovnik?,Slovenia,Serbia,Montenegro,Croatia,3,geography questions
What is the capital of New Zealand?,Auckland,Christchurch,Queenstown,Wellington,3,geography questions
"Which island is divided between Indonesia, Malaysia, and Brunei?",Java,Sumatra,Luzon,Borneo,4,geography questions
Which country is home to the ancient city of Petra?,Egypt,Lebanon,Syria,Jordan,2,geography questions
Which African country was formerly called Abyssinia?,Eritrea,Sudan,Somalia,Ethiopia,4,geography questions
What is the capital of Iceland?,Oslo,Helsinki,Copenhagen,Reykjavík,2,geography questions
Which country has the city of Chiang Mai?,Vietnam,Cambodia,Laos,Thailand,3,geography questions
Which mountain range separates Europe and Asia traditionally?,Andes,Alps,Himalayas,Ural Mountains,4,geography questions
What is the capital of Kenya?,Mombasa,Kampala,Addis Ababa,Nairobi,2,geography questions
Which country has the fjords of Geiranger and Nærøy?,Sweden,Finland,Denmark,Norway,3,geography questions
Which lake is the largest by surface area?,Lake Superior,Lake Victoria,Lake Tanganyika,Caspian Sea,3,geography questions
What is the capital of Argentina?,Santiago,Lima,Montevideo,Buenos Aires,2,geography questions
Which country is Lesotho completely surrounded by?,Botswana,Namibia,Zimbabwe,South Africa,4,geography questions
Which country has the city of Samarkand?,Kazakhstan,Kyrgyzstan,Tajikistan,Uzbekistan,4,geography questions
Which river forms much of the border between the U.S. and Mexico?,Colorado River,Mississippi River,Columbia River,Rio Grande,3,geography questions
What is the capital of Vietnam?,Ho Chi Minh City,Da Nang,Hue,Hanoi,2,geography questions
Which island nation is east of Madagascar?,Seychelles,Comoros,Maldives,Mauritius,3,geography questions
Which country has the ancient ruins of Angkor Wat?,Thailand,Vietnam,Laos,Cambodia,2,geography questions
Which sea is the lowest point on Earth’s land surface?,Caspian Sea,Sea of Galilee,Aral Sea,Dead Sea,3,geography questions
What is the capital of Kazakhstan?,Almaty,Bishkek,Tashkent,Astana,4,geography questions
Which country has the city of Porto?,Spain,Italy,France,Portugal,2,geography questions
Which mountain range runs along western South America?,Rockies,Alps,Atlas,Andes,2,geography questions
Which country is known as the Land of a Thousand Lakes?,Sweden,Norway,Canada,Finland,3,geography questions
Which U.S. state is farthest west by longitude including the Aleutian Islands?,Hawaii,California,Oregon,Alaska,5,geography questions
Which capital city is located on the Río de la Plata?,Santiago,Asunción,La Paz,Montevideo,4,geography questions
What is the capital of Mongolia?,Baku,Tbilisi,Yerevan,Ulaanbaatar,3,geography questions
Which country contains the region of Transylvania?,Hungary,Bulgaria,Serbia,Romania,3,geography questions
Which country has the city of Fez?,Tunisia,Algeria,Libya,Morocco,3,geography questions
Which river flows through Budapest?,Vistula,Elbe,Rhône,Danube,2,geography questions
Which country has Mount Fuji?,South Korea,China,Taiwan,Japan,1,geography questions
What is the capital of Estonia?,Riga,Vilnius,Helsinki,Tallinn,8,geography questions
Which country has the city of Cartagena on the Caribbean coast?,Venezuela,Ecuador,Panama,Colombia,9,geography questions
"Which African lake is shared by Tanzania, Uganda, and Kenya?",Lake Tanganyika,Lake Malawi,Lake Chad,Lake Victoria,10,geography questions
What is the capital of Slovenia?,Zagreb,Bratislava,Sarajevo,Ljubljana,6,geography questions
Which country controls Greenland as an autonomous territory?,Norway,Canada,Iceland,Denmark,7,geography questions
Which desert is one of the driest places on Earth and lies mainly in Chile?,Gobi Desert,Sahara Desert,Namib Desert,Atacama Desert,8,geography questions
Which country has the city of Timbuktu?,Niger,Chad,Senegal,Mali,4,geography questions
Which canal connects the Mediterranean Sea to the Red Sea?,Panama Canal,Kiel Canal,Corinth Canal,Suez Canal,2,geography questions
Who is known as the King of Pop?,Prince,Elvis Presley,Justin Timberlake,Michael Jackson,1,music
Which band released “Hey Jude”?,The Rolling Stones,Queen,Pink Floyd,The Beatles,1,music
Who sang “Rolling in the Deep”?,Beyoncé,Rihanna,Lady Gaga,Adele,1,music
Which artist released the album “1989”?,Katy Perry,Dua Lipa,Ariana Grande,Taylor Swift,1,music
Which instrument has black and white keys?,Guitar,Violin,Drums,Piano,1,music
Who is known as the Queen of Pop?,Cher,Dolly Parton,Celine Dion,Madonna,2,music
Which band’s lead singer was Freddie Mercury?,Nirvana,U2,Metallica,Queen,1,music
Which singer released “Shape of You”?,Bruno Mars,Sam Smith,Shawn Mendes,Ed Sheeran,1,music
Which artist released “Thriller”?,Prince,Stevie Wonder,Elton John,Michael Jackson,1,music
What genre is Bob Marley most associated with?,Jazz,Country,Heavy metal,Reggae,1,music
Which rapper released “Lose Yourself”?,Jay-Z,Drake,Kanye West,Eminem,1,music
Which singer’s album is called “Lemonade”?,Adele,Rihanna,Lady Gaga,Beyoncé,2,music
Which band released “Smells Like Teen Spirit”?,Pearl Jam,Green Day,Radiohead,Nirvana,2,music
Which singer released “Bad Guy”?,Lorde,Dua Lipa,Olivia Rodrigo,Billie Eilish,1,music
Which classical composer became deaf later in life?,Mozart,Bach,Vivaldi,Beethoven,2,music
Which city is strongly associated with the birth of jazz?,Chicago,New York,Nashville,New Orleans,2,music
Which artist released “Purple Rain”?,David Bowie,George Michael,Elvis Presley,Prince,2,music
Which British band released “Wonderwall”?,Blur,Coldplay,Arctic Monkeys,Oasis,2,music
Which singer is known for “Like a Rolling Stone”?,Bruce Springsteen,Neil Young,Paul Simon,Bob Dylan,2,music
Which K-pop group released “Dynamite”?,BLACKPINK,EXO,TWICE,BTS,1,music
Which group released “Bohemian Rhapsody”?,Led Zeppelin,The Beatles,The Who,Queen,1,music
Which singer released “Someone Like You”?,Sia,Rihanna,Alicia Keys,Adele,1,music
Which musical style is associated with Nashville?,Reggae,Techno,Salsa,Country,2,music
Which artist released “Blinding Lights”?,Drake,Post Malone,The Kid LAROI,The Weeknd,1,music
Which band released “Hotel California”?,Fleetwood Mac,Aerosmith,The Doors,Eagles,2,music
Which singer is nicknamed “The Boss”?,Billy Joel,Elton John,Paul McCartney,Bruce Springsteen,2,music
Which singer released “Hips Don’t Lie”?,Jennifer Lopez,Ricky Martin,Gloria Estefan,Shakira,1,music
Which band is known for “Yellow” and “Fix You”?,Radiohead,Muse,Keane,Coldplay,1,music
Which rapper’s real name is Shawn Carter?,Nas,Drake,Kendrick Lamar,Jay-Z,3,music
Which singer released the album “Future Nostalgia”?,Ariana Grande,Miley Cyrus,Katy Perry,Dua Lipa,2,music
Which rock band released “Stairway to Heaven”?,Pink Floyd,The Rolling Stones,Black Sabbath,Led Zeppelin,2,music
Which singer released “Born This Way”?,Kesha,Katy Perry,Rihanna,Lady Gaga,1,music
Which composer wrote “The Four Seasons”?,Bach,Mozart,Tchaikovsky,Vivaldi,3,music
"Which artist released “Good Kid, M.A.A.D City”?",J. Cole,Drake,"Tyler, the Creator",Kendrick Lamar,3,music
Which band released “Creep” in 1992?,Nirvana,Oasis,Blur,Radiohead,2,music
Which singer released “Watermelon Sugar”?,Shawn Mendes,Niall Horan,Zayn Malik,Harry Styles,1,music
Which artist released “Back to Black”?,Lana Del Rey,Adele,Duffy,Amy Winehouse,2,music
Which rapper released “Sicko Mode”?,Future,Lil Wayne,A$AP Rocky,Travis Scott,2,music
Which band released “Enter Sandman”?,Megadeth,Slayer,Iron Maiden,Metallica,2,music
Which pop star released “Teenage Dream”?,Taylor Swift,Lady Gaga,Ariana Grande,Katy Perry,2,music
Which singer released “Uptown Funk” with Mark Ronson?,Pharrell Williams,The Weeknd,Justin Timberlake,Bruno Mars,2,music
Which band’s album “The Dark Side of the Moon” became iconic?,Queen,The Who,Led Zeppelin,Pink Floyd,2,music
"Which artist released “When We All Fall Asleep, Where Do We Go?”",Olivia Rodrigo,Lorde,Halsey,Billie Eilish,3,music
